Best for data1.txt H=4: error=9, iterations=17192
Iteration 11000: loss 0.02675 errors 0
Iteration 12000: loss 0.02502 errors 0
Iteration 13000: loss 0.02354 errors 0
Iteration 14000: loss 0.02225 errors 0
Iteration 15000: loss 0.02111 errors 0
Iteration 16000: loss 0.02011 errors 0
Iteration 17000: loss 0.01921 errors 0
Iteration 18000: loss 0.01840 errors 0
Iteration 19000: loss 0.01767 errors 0
Iteration 20000: loss 0.01700 errors 0
Iteration 1000: loss 0.69373 errors 10
Iteration 2000: loss 0.69351 errors 10
Iteration 3000: loss 0.69340 errors 10
Iteration 4000: loss 0.69334 errors 10
Iteration 1000: loss 0.69343 errors 26
Iteration 2000: loss 0.69329 errors 26
Iteration 3000: loss 0.69324 errors 26
Best for data2.txt H=4: error=0, iterations=1980
Iteration 1000: loss 0.21965 errors 0
Iteration 2000: loss 0.16294 errors 0
Iteration 3000: loss 0.13124 errors 0
Iteration 4000: loss 0.11070 errors 0
Iteration 5000: loss 0.09631 errors 0
Iteration 6000: loss 0.08566 errors 0
Iteration 7000: loss 0.07744 errors 0
Iteration 8000: loss 0.07089 errors 0
Iteration 9000: loss 0.06552 errors 0
Iteration 10000: loss 0.06105 errors 0
Iteration 11000: loss 0.05725 errors 0
Iteration 12000: loss 0.05398 errors 0
Iteration 13000: loss 0.05114 errors 0
Iteration 14000: loss 0.04864 errors 0
Iteration 15000: loss 0.04642 errors 0
Iteration 16000: loss 0.04444 errors 0
Iteration 17000: loss 0.04265 errors 0
Iteration 18000: loss 0.04103 errors 0
Iteration 19000: loss 0.03956 errors 0
Iteration 20000: loss 0.03822 errors 0
Iteration 1000: loss 0.09591 errors 1
Iteration 2000: loss 0.06944 errors 0
Iteration 3000: loss 0.05626 errors 0
Iteration 4000: loss 0.04802 errors 0
Iteration 5000: loss 0.04225 errors 0
Iteration 6000: loss 0.03789 errors 0
Iteration 7000: loss 0.03447 errors 0
Iteration 8000: loss 0.03169 errors 0
Iteration 9000: loss 0.02938 errors 0
Iteration 10000: loss 0.02743 errors 0
Iteration 11000: loss 0.02575 errors 0
Iteration 12000: loss 0.02429 errors 0
Iteration 13000: loss 0.02300 errors 0
Iteration 14000: loss 0.02187 errors 0
Iteration 15000: loss 0.02085 errors 0
Iteration 16000: loss 0.01994 errors 0
Iteration 17000: loss 0.01911 errors 0
Iteration 18000: loss 0.01836 errors 0
Iteration 19000: loss 0.01767 errors 0
Iteration 20000: loss 0.01704 errors 0
Iteration 1000: loss 0.08131 errors 0
Iteration 2000: loss 0.05724 errors 0
Iteration 3000: loss 0.04584 errors 0
Iteration 4000: loss 0.03885 errors 0
Iteration 5000: loss 0.03400 errors 0
Iteration 6000: loss 0.03040 errors 0
Iteration 7000: loss 0.02760 errors 0
Iteration 8000: loss 0.02534 errors 0
Iteration 9000: loss 0.02348 errors 0
Iteration 10000: loss 0.02191 errors 0
Iteration 11000: loss 0.02057 errors 0
Iteration 12000: loss 0.01941 errors 0
Iteration 13000: loss 0.01841 errors 0
Iteration 14000: loss 0.01752 errors 0
Iteration 15000: loss 0.01672 errors 0
Iteration 16000: loss 0.01601 errors 0
Iteration 17000: loss 0.01537 errors 0
Iteration 18000: loss 0.01478 errors 0
Iteration 19000: loss 0.01425 errors 0
Iteration 20000: loss 0.01376 errors 0
Iteration 1000: loss 0.23970 errors 0
Iteration 2000: loss 0.18234 errors 0
Iteration 3000: loss 0.14893 errors 0
Iteration 4000: loss 0.12628 errors 0
Iteration 5000: loss 0.11000 errors 0
Iteration 6000: loss 0.09775 errors 0
Iteration 7000: loss 0.08820 errors 0
Iteration 8000: loss 0.08055 errors 0
Iteration 9000: loss 0.07427 errors 0
Iteration 10000: loss 0.06901 errors 0
Iteration 11000: loss 0.06456 errors 0
Iteration 12000: loss 0.06072 errors 0
Iteration 13000: loss 0.05738 errors 0
Iteration 14000: loss 0.05445 errors 0
Iteration 15000: loss 0.05185 errors 0
Iteration 16000: loss 0.04953 errors 0
Iteration 17000: loss 0.04745 errors 0
Iteration 18000: loss 0.04557 errors 0
Iteration 19000: loss 0.04386 errors 0
Iteration 20000: loss 0.04230 errors 0
Iteration 1000: loss 0.65310 errors 1
Iteration 2000: loss 0.61346 errors 3
Iteration 3000: loss 0.57395 errors 3
Iteration 4000: loss 0.53927 errors 1
Iteration 5000: loss 0.50951 errors 1
Iteration 6000: loss 0.48300 errors 0
Iteration 7000: loss 0.45892 errors 0
Iteration 8000: loss 0.43675 errors 0
Iteration 9000: loss 0.41595 errors 0
Iteration 10000: loss 0.39622 errors 0
Iteration 11000: loss 0.37735 errors 0
Iteration 12000: loss 0.35905 errors 0
Iteration 13000: loss 0.34115 errors 0
Iteration 14000: loss 0.32377 errors 0
Iteration 15000: loss 0.30667 errors 0
Iteration 16000: loss 0.28966 errors 0
Iteration 17000: loss 0.27292 errors 0
Iteration 18000: loss 0.25539 errors 0
Iteration 19000: loss 0.23773 errors 0
Iteration 20000: loss 0.21240 errors 0
Best for data2.txt H=8: error=0, iterations=581
Iteration 1000: loss 0.20955 errors 9
Iteration 2000: loss 0.20428 errors 9
Iteration 3000: loss 0.20179 errors 10
Iteration 4000: loss 0.20031 errors 10
Iteration 5000: loss 0.19933 errors 10
Iteration 6000: loss 0.19864 errors 10
Iteration 7000: loss 0.19815 errors 10
Iteration 8000: loss 0.19778 errors 10
Iteration 9000: loss 0.19749 errors 10
Iteration 10000: loss 0.19726 errors 10
Iteration 11000: loss 0.19708 errors 10
